pgs_id,trait_label,ancestry_display,eta,se,Q,I2,k_eval,auc_pooled,lo_pooled,hi_pooled
PGS019025,Peripheral retinal degenerations,East Asian,0.695435994337187,0.10388788752302351,NA,NA,1,0.667175097777851,0.6205340796793992,0.7107555239043417
PGS019026,Macular puckering of retina,East Asian,0.6563948954088702,0.09623131523100174,NA,NA,1,0.658450087355527,0.6148585371207556,0.6995189666402126
PGS019027,Macular puckering of retina,East Asian,0.6841713779874303,0.09693141870269123,NA,NA,1,0.66466906894367,0.621092002300034,0.7056099378079915
PGS019028,Macular puckering of retina,East Asian,0.6465699839480336,0.09598745170274434,NA,NA,1,0.656237100660446,0.6126427490382383,0.6973489394194101
PGS019029,Macular puckering of retina,East Asian,0.6705996781426901,0.09658736892930266,NA,NA,1,0.661637424163883,0.6180520737497761,0.7026420429037292
PGS019030,Macular puckering of retina,East Asian,0.6541174221571411,0.09617461155782918,NA,NA,1,0.657937713589064,0.6143454054562764,0.6990166598299872
PGS019031,Macular degeneration senile of retina NOS,East Asian,0.36472142915162814,0.05400263511606503,NA,NA,1,0.590182876514273,0.5643600326466368,0.6155178528170709
PGS019032,Macular degeneration senile of retina NOS,East Asian,0.3772840761025059,0.0541466221375503,NA,NA,1,0.5932178884686,0.5673768502545715,0.6185531160664073
PGS019033,Macular degeneration senile of retina NOS,East Asian,0.3580324736760245,0.05392664976777636,NA,NA,1,0.588564068117115,0.5627514454300312,0.6138983555204857
PGS019034,Macular degeneration senile of retina NOS,East Asian,0.36851433738593453,0.054045931570205895,NA,NA,1,0.591099941248871,0.5652714663604468,0.6164351366851213
PGS019035,Macular degeneration senile of retina NOS,East Asian,0.374608730274253,0.05411581846668411,NA,NA,1,0.592572138970678,0.5667348658769616,0.6179074269229932
PGS019036,Glaucoma,East Asian,0.3680045322437039,0.04413197563726986,NA,NA,1,0.590976715217446,0.5699153668501533,0.6117093761791134
PGS019037,Glaucoma,East Asian,0.4103836146177792,0.044527973961817,NA,NA,1,0.601179858869389,0.5800816996368112,0.621908899169141
PGS019038,Glaucoma,East Asian,0.40467968013278693,0.04447375729910686,NA,NA,1,0.599811482488908,0.5787175725404071,0.6205417347458985
PGS019039,Glaucoma,East Asian,0.388162027628471,0.04431837105146531,NA,NA,1,0.595840166677941,0.5747597979765011,0.6165726594694086
PGS019040,Glaucoma,East Asian,0.35441936178113,0.04400834096708691,NA,NA,1,0.587688850816451,0.566641871991895,0.6084200271482966
PGS019041,Open angle glaucoma,East Asian,0.7200453241012932,0.09785807616187747,NA,NA,1,0.672616997665787,0.62907334193005,0.7133779987025177
PGS019042,Open angle glaucoma,East Asian,0.7392763570504919,0.09836655773433568,NA,NA,1,0.676837595186163,0.6333180524018612,0.7174960298535451
PGS019043,Open angle glaucoma,East Asian,0.7015940225059886,0.09737751705234374,NA,NA,1,0.668541092679754,0.6249785463133121,0.7093963232151275
PGS019044,Open angle glaucoma,East Asian,0.7476534299480933,0.09859050169845647,NA,NA,1,0.678667178471664,0.6351595393804131,0.7192795624220732
PGS019045,Open angle glaucoma,East Asian,0.6709721817300441,0.09659559380242412,NA,NA,1,0.661720812765469,0.6181361992632802,0.7027232342022611
PGS019046,Cataract,East Asian,0.35314479437234875,0.03068663964066867,NA,NA,1,0.587379975059685,0.5727301740141661,0.601876641847428
PGS019047,Cataract,East Asian,0.3532691766736507,0.030687375185351726,NA,NA,1,0.587410120616119,0.5727602585871664,0.6019067915450149
PGS019048,Cataract,East Asian,0.35243916085716054,0.030682468589883875,NA,NA,1,0.587208943837883,0.5725594901287563,0.6017055857360452
PGS019049,Cataract,East Asian,0.3527623861518112,0.03068437882460585,NA,NA,1,0.587287289694821,0.5726376765940318,0.6017839432887119
PGS019050,Cataract,East Asian,0.35308912576419427,0.030686310470187734,NA,NA,1,0.587366482886319,0.5727167091580421,0.6018631477967491
PGS019051,Visual disturbances,East Asian,0.37150245549805117,0.05626458123395857,NA,NA,1,0.591821974701867,0.5649371238657013,0.6181683518914363
PGS019052,Visual disturbances,East Asian,0.379378192541129,0.056359458157513476,NA,NA,1,0.593723121786186,0.5668261893282238,0.6200693829752076
PGS019053,Visual disturbances,East Asian,0.3734115020434652,0.05628751620186247,NA,NA,1,0.592283059676999,0.5653952312140939,0.6186294598720901
PGS019054,Visual disturbances,East Asian,0.3749909045690278,0.05630652123940289,NA,NA,1,0.59266440419784,0.5657741360179196,0.6190107986883121
PGS019055,Visual disturbances,East Asian,0.41696612166957464,0.05682176658136317,NA,NA,1,0.602757041986821,0.5758098002178271,0.629095109810448
PGS019056,Keratitis,East Asian,0.5862386398375519,0.07125215905812789,NA,NA,1,0.642501650394357,0.6098268401551287,0.6739033452549495
PGS019057,Keratitis,East Asian,0.5978480655225481,0.07145724424067731,NA,NA,1,0.645163823355686,0.6124902150278266,0.6765374066408014
PGS019058,Keratitis,East Asian,0.5857704979306593,0.07124393112785365,NA,NA,1,0.6423941141725439,0.6097192832040186,0.6737969145647018
PGS019059,Keratitis,East Asian,0.5837541922757813,0.07120853021823258,NA,NA,1,0.641930787672423,0.6092558920418333,0.6733383247151667
PGS019060,Keratitis,East Asian,0.5885636371582056,0.0712930707039114,NA,NA,1,0.643035509537542,0.6103608341456328,0.6744316815725755
PGS019061,Uveitis noninfectious or NOS,East Asian,0.8225427246626363,0.12316150985538382,NA,NA,1,0.694775823242764,0.6413310963019075,0.7434426276055726
PGS019062,Uveitis noninfectious or NOS,East Asian,0.7728853956504818,0.12146196717183352,NA,NA,1,0.6841447319846429,0.6306065831138853,0.7332061911357508
PGS019063,Uveitis noninfectious or NOS,East Asian,0.8294043000554645,0.12340155308575551,NA,NA,1,0.696228957471943,0.6427998785708819,0.7448386151287143
PGS019064,Uveitis noninfectious or NOS,East Asian,0.8155518661012009,0.122918251952619,NA,NA,1,0.69329130980508,0.6398313177939022,0.742015693934015
PGS019065,Uveitis noninfectious or NOS,East Asian,0.8271448540721759,0.12332236860568124,NA,NA,1,0.695750886001181,0.6423165817669758,0.7443794303271989
PGS019066,Other disorders of eye,East Asian,0.44068495300241134,0.0439283905487176,NA,NA,1,0.608422229227848,0.5877290606553324,0.6287328588968781
PGS019067,Other disorders of eye,East Asian,0.45272445716834026,0.04404418108387962,NA,NA,1,0.611286802453557,0.5905882890513233,0.6315916406685677
PGS019068,Other disorders of eye,East Asian,0.4420866328716191,0.04394180543550026,NA,NA,1,0.608756121118638,0.5880622815589471,0.6290661262564661
PGS019069,Other disorders of eye,East Asian,0.4383997476229458,0.04390655692526482,NA,NA,1,0.607877656649957,0.5871856095724306,0.628189276366639
PGS019070,Other disorders of eye,East Asian,0.43885078193281585,0.043910862617126734,NA,NA,1,0.607985161042977,0.5872928899073594,0.6282965881172164
PGS019071,Disorders of iris and ciliary body,East Asian,0.8563508251168884,0.1317436097809503,NA,NA,1,0.701897673718098,0.6452291300904389,0.7529798025179505
PGS019072,Disorders of iris and ciliary body,East Asian,0.7672303544593906,0.128474585292211,NA,NA,1,0.682921459485126,0.6260762261484263,0.7347856664784568
PGS019073,Disorders of iris and ciliary body,East Asian,0.8272464130673787,0.13065110153063597,NA,NA,1,0.695772383743429,0.6390331612942153,0.7471222341436365
PGS019074,Disorders of iris and ciliary body,East Asian,0.8760969053047803,0.13249883740197352,NA,NA,1,0.706012751564137,0.6493991568597745,0.7569066909304101
PGS019075,Disorders of iris and ciliary body,East Asian,0.8505118245742718,0.13152246323534386,NA,NA,1,0.7006744983359788,0.6439907838503917,0.7518112691824512
PGS019076,Suppurative and unspecified otitis media,East Asian,0.5501887442562283,0.09807501804706414,NA,NA,1,0.63417938001211,0.5885469318620248,0.6775238946922465
PGS019077,Suppurative and unspecified otitis media,East Asian,0.5750269946069478,0.09867558682296101,NA,NA,1,0.639922316905673,0.5942644535738968,0.6831814211766215
PGS019078,Suppurative and unspecified otitis media,East Asian,0.5586370102525885,0.09827788430241993,NA,NA,1,0.636137112138353,0.5904950730388042,0.6794535471631786
PGS019079,Suppurative and unspecified otitis media,East Asian,0.5432804751605452,0.09791020270466129,NA,NA,1,0.6325752093456011,0.5869513313674831,0.675941936703483
PGS019080,Suppurative and unspecified otitis media,East Asian,0.5402659798508292,0.0978385849226065,NA,NA,1,0.631874289258762,0.5862543564685354,0.6752504976018384
PGS019081,Vertiginous syndromes and other disorders of vestibular system,East Asian,0.37716306787876125,0.028671536454533075,NA,NA,1,0.593188687593313,0.5795598643805911,0.6066755473674872
PGS019082,Vertiginous syndromes and other disorders of vestibular system,East Asian,0.38156386826995214,0.028695835040767455,NA,NA,1,0.594250233503492,0.5806202346437372,0.6077365269212925
PGS019083,Vertiginous syndromes and other disorders of vestibular system,East Asian,0.37295623107333103,0.028648411961747094,NA,NA,1,0.592173114478987,0.5785454932243702,0.6056604364352977
PGS019084,Vertiginous syndromes and other disorders of vestibular system,East Asian,0.3780588868564538,0.028676473680483313,NA,NA,1,0.593404844868631,0.5797757755712106,0.6068915962216129
PGS019085,Vertiginous syndromes and other disorders of vestibular system,East Asian,0.37239246485344113,0.028645320654459266,NA,NA,1,0.592036955544108,0.5784095011723995,0.6055243335501306
PGS019086,Menieres disease,East Asian,0.4771153441818417,0.06423381781598254,NA,NA,1,0.617066474330795,0.5869126819572087,0.646345473578951
PGS019087,Menieres disease,East Asian,0.47813477700170703,0.06424887373633278,NA,NA,1,0.617307332892856,0.5871526643981351,0.6465852071644794
PGS019088,Menieres disease,East Asian,0.4789160738863483,0.0642604217784009,NA,NA,1,0.617491888755225,0.5873365554224403,0.6467688940242394
