trait_label,pgs_id,ancestry_display,I2,k_eval,Q,auc_pooled
Prostate cancer,PGS004125,European,85.40082354402102,4,20.549104321369946,0.6600251553003166
Prostate cancer,PGS004139,European,91.78684595092692,4,36.52677134843924,0.6935035570468399
Prostate cancer,PGS004155,European,92.38649695218052,4,39.40367503838071,0.6972553325339705
Prostate cancer,PGS003985,South Asian,15.019392526131666,2,1.1767390581521808,0.6993769804633723
Prostate cancer,PGS004001,South Asian,0,2,0.7166395338653234,0.7194631004436263
Prostate cancer,PGS004027,South Asian,0,2,0.2429879307360936,0.7168958116809666
Prostate cancer,PGS004042,South Asian,0,2,0.06777417285412096,0.7227676690780411
Prostate cancer,PGS004055,South Asian,0,2,0.0097015793350066,0.7143974450296803
Prostate cancer,PGS004071,South Asian,0,2,0.17455812995905493,0.7058485217152066
Prostate cancer,PGS004085,South Asian,0,2,0.02155056746070252,0.7060882800842093
Prostate cancer,PGS004099,South Asian,0,2,0.06029319412153499,0.7139967731249158
Prostate cancer,PGS004109,South Asian,21.380078688402676,2,1.2719422549873358,0.6528798068963497
Prostate cancer,PGS004125,South Asian,38.94034580612581,2,1.6377426521690408,0.6665233423059367
Prostate cancer,PGS004139,South Asian,0,2,0.3323647684276069,0.7186384542812169
Prostate cancer,PGS004155,South Asian,0,2,0.23985971553487756,0.7222854411086501
Prostate cancer (FH),PGS001292,European,85.82250069191788,2,7.0534300744415015,0.5793839163253913
Prostate cancer incidence in men with symptoms,PGS000662,European,0,2,0.24688349305029783,0.7769604657797338
Psoriasis,PGS001312,European,0,2,0.7105901354045661,0.6939690764652134
Psoriatic arthritis diagnosis in patient with arthritis,PGS000198,European,0,2,0.8115311533067778,0.683380247541441
Psoriatic arthropathy,PGS001287,European,83.89950480161146,2,6.210989088708821,0.6600304431643631
Pulmonary fibrosis,PGS001030,European,45.70901798980081,2,1.8419265280781592,0.7721979057705713
Radiographic osteoarthritis,PGS002728,European,46.24535074869351,2,1.8603042042464737,0.5998724706326076
Radiographic osteoarthritis,PGS002729,European,30.746997180833908,3,2.8879614147886317,0.5895179385607269
Retinal detachment,PGS001137,European,0,2,0.5983680983400355,0.6422802941277019
Rheumatoid arhtirits diagnosis in patient with arthritis,PGS000194,European,36.47568827024226,2,1.5742004482538194,0.7175303904886207
Rheumatoid arhtirits diagnosis in patient with arthritis,PGS000195,European,36.47568827024226,2,1.5742004482538194,0.7175303904886207
Rheumatoid arthritis,PGS001310,European,58.65038635656307,2,2.4184022821183513,0.6706619859342962
Rheumatoid factor > 16 IU/mL,PGS001138,European,63.4837304954499,2,2.7385053664241226,0.6045700699105857
Rheumatoid-factor-negative Polyarthritis,PGS000326,European,81.37774853933136,4,16.109759909193514,0.7022972889257416
Risk of hospitalization (COVID-19),PGS002272,European,96.78415059865044,4,93.28795057197024,0.7304703305127898
Risk of mitral valve prolapse,PGS002271,European,10.31955428832659,2,1.1150702832310224,0.6689648763024201
Risk of severe disease (COVID-19),PGS002272,European,93.58426826946716,4,46.76005989656385,0.7613428985764419
Risk taking,PGS001049,European,97.36826546767584,2,37.99775348605824,0.6219660681824674
Sarcoidosis,PGS000922,European,0,2,0.5391661599167212,0.6561886697168716
Sensitivity / hurt feelings,PGS001016,European,87.12490758604298,2,7.766934541890875,0.6169627919834232
Seropositive RA,PGS003994,European,96.95183667045345,4,98.41992293917752,0.5999620106406809
Seropositive RA,PGS004010,European,94.0343080484008,4,50.28754458559998,0.6000019079842606
Seropositive RA,PGS004021,European,93.08215308893492,4,43.366094083428024,0.6242901037003884
Seropositive RA,PGS004049,European,89.59854472741651,4,28.84211796696854,0.632504259966421
Seropositive RA,PGS004064,European,92.550287960042,4,40.270012906658835,0.6353505640418299
Seropositive RA,PGS004079,European,90.49945707311396,4,31.577142728445153,0.6284872281547904
Seropositive RA,PGS004094,European,94.94286554996042,4,59.32213251669667,0.6241980541056726
Seropositive RA,PGS004103,European,91.11318835276748,4,33.757888870461635,0.5975748552794192
Seropositive RA,PGS004118,European,76.04111583449344,4,12.521451246544611,0.589897193211258
Seropositive RA,PGS004133,European,77.38220807668628,4,13.263894239418192,0.594525946615601
Seropositive RA,PGS004148,European,94.05271799334214,4,50.44321080859394,0.6240955396126013
Seropositive RA,PGS004163,European,91.58216563119424,4,35.638619965215696,0.6497321559549887
Sjogren's syndrome/sicca syndrome,PGS001308,European,24.752143037142275,2,1.3289415012757095,0.7445248768386595
Skin cancer,PGS001041,European,89.51516869219776,2,9.53758787950984,0.6996154945727715
Snoring,PGS001054,European,7.327123782789423,2,1.0790643830414393,0.6313945207864508
Spondyloarthropathy diagnosis in patient with arthritis,PGS000197,European,77.08173800995833,2,4.363332614115831,0.7683783987137174
Started insulin within one year diagnosis of diabetes,PGS001117,European,78.99906687354945,2,4.761693178006962,0.7556669413703445
Stroke excluding subarachnoid hemorrhage,PGS003984,European,72.91749687101492,4,11.077262635997805,0.5391736537013785
Stroke excluding subarachnoid hemorrhage,PGS004000,European,0,4,2.386031308213326,0.5319858957582397
Stroke excluding subarachnoid hemorrhage,PGS004015,European,53.747790732378085,4,6.486176655133531,0.5363805942966962
Stroke excluding subarachnoid hemorrhage,PGS004026,European,80.79045940979613,4,15.617239703951515,0.5403865999292258
Stroke excluding subarachnoid hemorrhage,PGS004041,European,72.13222802716795,4,10.765123250343311,0.541378765061592
Stroke excluding subarachnoid hemorrhage,PGS004054,European,71.16907228093925,4,10.4054924254714,0.542939116366216
Stroke excluding subarachnoid hemorrhage,PGS004070,European,74.07175797768502,4,11.570394928503328,0.5434887840066052
Stroke excluding subarachnoid hemorrhage,PGS004084,European,82.17492130714626,4,16.830220229000904,0.5381104650621965
Stroke excluding subarachnoid hemorrhage,PGS004098,European,75.12491450029121,4,12.060260054322717,0.5380748011037313
Stroke excluding subarachnoid hemorrhage,PGS004108,European,0,4,1.6293626866082946,0.5189563336386053
Stroke excluding subarachnoid hemorrhage,PGS004124,European,35.672646203887446,4,4.663645903278702,0.5268880662007275
Stroke excluding subarachnoid hemorrhage,PGS004138,European,85.240295145795,4,20.325609689582024,0.5355010201016006
