performance_id,pgs_id,sampleset_id,reported_trait,ancestry_display,train_bucket,auc,ci_source,cohort_txt,note
PPM021500,PGS001357,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.761,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021501,PGS000729,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.761,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021502,PGS002671,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.761,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021503,PGS002243,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.76,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021504,PGS001781,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.76,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021505,PGS000036,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: Multi incl. EUR,0.759,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021506,PGS000014,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.757,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021507,PGS000868,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.758,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021508,PGS002780,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.756,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021509,PGS000864,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.745,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021776,PGS005030,PSS011807,Type 2 diabetes,Hispanic or Latin American,Train: Multi incl. EUR,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021777,PGS005031,PSS011807,Type 2 diabetes,Hispanic or Latin American,Train: Multi incl. EUR,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021778,PGS005032,PSS011807,Type 2 diabetes,Hispanic or Latin American,Train: Multi incl. EUR,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021779,PGS005027,PSS011807,Type 2 diabetes,Hispanic or Latin American,Train: Multi incl. EUR,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021780,PGS005029,PSS011807,Type 2 diabetes,Hispanic or Latin American,Train: Multi incl. EUR,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021781,PGS005028,PSS011807,Type 2 diabetes,Hispanic or Latin American,Train: Multi incl. EUR,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021782,PGS005033,PSS011807,Type 2 diabetes,Hispanic or Latin American,Train: Multi incl. EUR,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021783,PGS005030,PSS011817,Type 2 diabetes,European,Train: Multi incl. EUR,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021784,PGS005031,PSS011817,Type 2 diabetes,European,Train: Multi incl. EUR,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021785,PGS005032,PSS011817,Type 2 diabetes,European,Train: Multi incl. EUR,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
