trait_label,pgs_id,trained_bucket,metric,target_ancestry,tgt_log,tgt_se,tgt_k,eur_log,eur_se,eur_k,is_pooled,delta,delta_se
Coronary heart disease (incident and prevalent),PGS000018,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.6575200029167941,0.07262335955498073,1,0.5446606276165712,0.014314812849311253,2,FALSE,0.11285937530022294,0.07402071480310642
Incident coronary heart disease,PGS000018,Train: Multi incl. EUR,HR,African,0.2309031565204502,0.0419962700698842,2,0.4205554110908451,0.009703290371958113,5,TRUE,-0.1896522545703949,0.04310267443935685
Incident coronary heart disease,PGS000018,Train: Multi incl. EUR,HR,Hispanic or Latin American,0.41537730791109634,0.07848140225901981,2,0.4205554110908451,0.009703290371958113,5,TRUE,-0.005178103179748761,0.07907897536377552
Coronary heart disease (incident and prevalent),PGS000200,Train: Multi incl. EUR,OR,African,0.06765864847381486,0.040426107390758845,1,0.2151113796169455,0.014346866919101049,1,FALSE,-0.14745273114313062,0.042896418838448074
Coronary heart disease (incident and prevalent),PGS000200,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.23901690047049992,0.06054290466994032,1,0.2151113796169455,0.014346866919101049,1,FALSE,0.023905520853554435,0.062219578078510605
Incident coronary heart disease,PGS000200,Train: Multi incl. EUR,HR,African,0.10436001532424286,0.041321057203470526,2,0.1773998300664904,0.013677265456610356,3,TRUE,-0.07303981474224755,0.043525824044848026
Incident coronary heart disease,PGS000200,Train: Multi incl. EUR,HR,Hispanic or Latin American,0.12674625311381846,0.06889267732728568,2,0.1773998300664904,0.013677265456610356,3,TRUE,-0.05065357695267195,0.07023723072339975
Type 2 diabetes,PGS000330,Train: European-only,OR,East Asian,0.3576744442718159,0.12525185753732815,1,0.5822156198526637,0.011403106866812984,1,FALSE,-0.2245411755808478,0.1257698638894354
Type 2 diabetes,PGS000330,Train: European-only,OR,Hispanic or Latin American,0.4574248470388755,0.01771135368157217,1,0.5822156198526637,0.011403106866812984,1,FALSE,-0.1247907728137882,0.02106473107945358
Type 2 diabetes,PGS000330,Train: European-only,OR,South Asian,0.4824261492442928,0.034696876959911895,1,0.5822156198526637,0.011403106866812984,1,FALSE,-0.0997894706083709,0.03652265210779773
Type 2 diabetes,PGS000713,Train: European-only,OR,East Asian,0.6418538861723947,0.12858314713791125,1,0.4885800148186709,0.010923468669114315,1,FALSE,0.15327387135372378,0.12904630136371542
Type 2 diabetes,PGS000713,Train: European-only,OR,Hispanic or Latin American,0.37843643572024505,0.01747957817264187,1,0.4885800148186709,0.010923468669114315,1,FALSE,-0.11014357909842587,0.0206120794889458
