trait_label,trained_bucket,target_ancestry,pgs_id,eur_auc,eur_lo_mixed,eur_hi_mixed,eur_lo_correct,eur_hi_correct,tgt_auc,tgt_lo_mixed,tgt_hi_mixed,tgt_lo_correct,tgt_hi_correct,any_mixed_bound_outside_0_1,max_abs_bound_error
Type 2 diabetes,Train: European-only,South Asian,PGS000868,0.696,0.6723671166130103,0.7196328833869896,0.690976625302645,0.7009770544141066,0.711,0.637950025245736,0.784049974754264,0.6957616632098835,0.7257759163743085,FALSE,0.05827405837995547
Type 2 diabetes,Train: European-only,East Asian,PGS001295,0.6850058613595111,0.6005048196096263,0.769506903109396,0.6664944536536075,0.7029477270461163,0.83509,-0.189015238774915,1.859195238774915,0.6452064779439078,0.933779167659018,TRUE,0.9254160711158971
Type 2 diabetes,Train: European-only,South Asian,PGS001295,0.6850058613595111,0.6005048196096263,0.769506903109396,0.6664944536536075,0.7029477270461163,0.65806,0.48192750538592277,0.8341924946140772,0.6174003023172903,0.6965226479020772,FALSE,0.137669846712
Breast cancer,Train: European-only,East Asian,PGS001336,0.8085258595410928,0.7746269741999352,0.8424247448822504,0.8032229587323013,0.8137189961356351,0.7602,0.5084890473694452,1.0119109526305547,0.7113737500234711,0.8030531912680069,TRUE,0.20885776136254786
Breast cancer,Train: European-only,South Asian,PGS001336,0.8085258595410928,0.7746269741999352,0.8424247448822504,0.8032229587323013,0.8137189961356351,0.83564,0.6691398210872006,1.0021401789127995,0.8114773896121811,0.8572505127913291,TRUE,0.14488966612147036
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,PGS001800,0.739,0.6271963460899677,0.8508036539100323,0.7168670575110765,0.7599820618870755,0.635,0.46189341494814895,0.8081065850518511,0.5940228863793854,0.6741101821484646,FALSE,0.13399640290338644
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,PGS001801,0.739,0.6271963460899677,0.8508036539100323,0.7168670575110765,0.7599820618870755,0.635,0.46189341494814895,0.8081065850518511,0.5940228863793854,0.6741101821484646,FALSE,0.13399640290338644
Type 2 diabetes,Train: European-only,East Asian,PGS001818,0.709,0.684763875157125,0.7332361248428749,0.7039744166148847,0.7139749297643393,0.7339999999999999,0.4521340946214066,1.0158659053785932,0.6754954391375741,0.7853091920941939,TRUE,0.2305567132843993
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS001818,0.709,0.684763875157125,0.7332361248428749,0.7039744166148847,0.7139749297643393,0.762,0.7233931398602237,0.8006068601397763,0.7549277569564002,0.7689306216937887,FALSE,0.03167623844598766
Type 2 diabetes,Train: European-only,South Asian,PGS001818,0.709,0.684763875157125,0.7332361248428749,0.7039744166148847,0.7139749297643393,0.723,0.6480454852930311,0.7979545147069689,0.7077408736469808,0.7377576352487849,FALSE,0.06019687945818397
Type 2 diabetes,Train: European-only,East Asian,PGS002026,0.714,0.689512785486667,0.738487214513333,0.7089735239501617,0.7189740731512962,0.722,0.4297523080909768,1.014247691909023,0.6597446123354282,0.7767197192712195,TRUE,0.23752797263780356
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002026,0.714,0.689512785486667,0.738487214513333,0.7089735239501617,0.7189740731512962,0.764,0.7251677200439052,0.8028322799560949,0.7569267605269672,0.7709297032351106,FALSE,0.03190257672098429
Type 2 diabetes,Train: European-only,South Asian,PGS002026,0.714,0.689512785486667,0.738487214513333,0.7089735239501617,0.7189740731512962,0.724,0.6488773728675632,0.7991226271324368,0.7087390696289637,0.7387560578589829,FALSE,0.06036656927345385
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,PGS002238,0.68,0.6341086629583708,0.7258913370416293,0.6699326510915541,0.6899024187718064,0.666,0.5633868678069016,0.7686131321930985,0.6427994857945601,0.6884240368468435,FALSE,0.08018909534625496
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,PGS002239,0.679,0.6282582972781402,0.7297417027218599,0.667841432653722,0.6899577332788519,0.663,0.5639911725642313,0.7620088274357688,0.6405341440974983,0.6847528179204969,FALSE,0.0772560095152719
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,PGS002250,0.588,0.4933398276751669,0.6826601723248331,0.564892771759518,0.6107257202520578,0.538,0.4840091841442853,0.5919908158557148,0.5245559418951902,0.5513890193637365,FALSE,0.07193445207277527
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS002308,0.7929999999999999,0.7566636010998821,0.8293363989001178,0.7869718277088381,0.7989011796442494,0.8510000000000001,0.7143782096151524,0.9876217903848478,0.8328335851663495,0.8675062926549698,FALSE,0.12011549772987795
Type 2 diabetes,Train: European-only,East Asian,PGS002671,0.7040000000000001,0.6824250930297484,0.7255749069702517,0.6994844354735713,0.7084759916956777,0.737,0.4423336870034506,1.0316663129965493,0.6760696428348885,0.7900289909267534,TRUE,0.24163732206979593
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002671,0.7040000000000001,0.6824250930297484,0.7255749069702517,0.6994844354735713,0.7084759916956777,0.761,0.7225042352971154,0.7994957647028846,0.753928249438063,0.767931076010015,FALSE,0.03156468869286966
Type 2 diabetes,Train: European-only,South Asian,PGS002671,0.7040000000000001,0.6824250930297484,0.7255749069702517,0.6994844354735713,0.7084759916956777,0.721,0.646377227286,0.795622772714,0.7057444473202843,0.7357607641883945,FALSE,0.059862008525605415
Type 2 diabetes,Train: European-only,East Asian,PGS002771,0.7349999999999999,0.7093270099806871,0.7606729900193127,0.7299694697116795,0.7399701976835537,0.728,0.4472749081485654,1.0087250918514346,0.6690239604348228,0.7799240919927126,TRUE,0.22880099985872193
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002771,0.7349999999999999,0.7093270099806871,0.7606729900193127,0.7299694697116795,0.7399701976835537,0.775,0.7376567906138142,0.8123432093861859,0.7684214850452694,0.7814447892017327,FALSE,0.030898420184453212
Type 2 diabetes,Train: European-only,South Asian,PGS002771,0.7349999999999999,0.7093270099806871,0.7606729900193127,0.7299694697116795,0.7399701976835537,0.742,0.6660985859018942,0.8179014140981058,0.727205083909087,0.756261460512937,FALSE,0.06163995358516883
Type 2 diabetes,Train: European-only,East Asian,PGS002780,0.6940000000000001,0.6704539406747451,0.7175460593252551,0.6889769517668255,0.6989773690822353,0.712,0.43120877981002087,0.9927912201899791,0.651201837192674,0.7660085313835506,FALSE,0.2267826888064285
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002780,0.6940000000000001,0.6704539406747451,0.7175460593252551,0.6889769517668255,0.6989773690822353,0.756,0.7180440771180548,0.7939559228819452,0.7489306565217875,0.7629333000959501,FALSE,0.031022622785995102
Type 2 diabetes,Train: European-only,South Asian,PGS002780,0.6940000000000001,0.6704539406747451,0.7175460593252551,0.6889769517668255,0.6989773690822353,0.713,0.6371185871292727,0.7888814128707272,0.6972249105921497,0.7282734997603971,FALSE,0.06060791311033009
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,PGS003394,0.595,0.49973742870592713,0.6902625712940728,0.5718521176943767,0.6177329768107886,0.542,0.4879450409203008,0.5960549590796993,0.5285543612176374,0.5553847403780907,FALSE,0.07252959448328411
Type 2 diabetes,Train: Multi incl. EUR,East Asian,PGS003443,0.7310000000000001,0.705570446427083,0.7564295535729172,0.725970283359355,0.7359709734834933,0.738,0.4586259941163977,1.0173740058836023,0.6805336483932264,0.7883441834024904,TRUE,0.22902982248111192
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS003443,0.7310000000000001,0.705570446427083,0.7564295535729172,0.725970283359355,0.7359709734834933,0.78,0.7421741268493321,0.8178258731506679,0.773440387814946,0.786422135710634,FALSE,0.031403737440033885
Type 2 diabetes,Train: Multi incl. EUR,South Asian,PGS003443,0.7310000000000001,0.705570446427083,0.7564295535729172,0.725970283359355,0.7359709734834933,0.746,0.6693118637601397,0.8226881362398603,0.7311968130748969,0.7602552596568575,FALSE,0.06243287658300278
Colorectal cancer,Train: Multi incl. EUR,African,PGS003850,0.61,0.5679584413947292,0.6520415586052708,0.5999533314119376,0.6199541868245492,0.58,0.5185983398077383,0.6414016601922616,0.5649734639818013,0.5948796788554658,FALSE,0.04652198133679586
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,PGS003850,0.61,0.5679584413947292,0.6520415586052708,0.5999533314119376,0.6199541868245492,0.59,0.5281930220164116,0.6518069779835883,0.5749700704700287,0.6048636953306843,FALSE,0.04694328265290404
Colorectal cancer,Train: European-only,African,PGS003851,0.6453262112082871,0.6005736326747962,0.690078789741778,0.6350179059852346,0.6555013202152782,0.5382772245470867,0.3229270217806581,0.7536274273135153,0.4845196626658371,0.5911591378302532,FALSE,0.16246828948326208
Colorectal cancer,Train: European-only,East Asian,PGS003851,0.6453262112082871,0.6005736326747962,0.690078789741778,0.6350179059852346,0.6555013202152782,0.601,0.33656133978340796,0.865438660216592,0.5362350790868885,0.662414387405723,FALSE,0.203024272810869
Colorectal cancer,Train: European-only,Hispanic or Latin American,PGS003851,0.6453262112082871,0.6005736326747962,0.690078789741778,0.6350179059852346,0.6555013202152782,0.5946089262242725,0.40149047920012243,0.7877273732484227,0.547341082800041,0.6401856835705992,FALSE,0.14754168967782344
Colorectal cancer,Train: Multi incl. EUR,African,PGS003852,0.65,0.6060349637466489,0.6939650362533512,0.6399331875663794,0.6599349270961022,0.59,0.5072694670486613,0.6727305329513387,0.5698489364236012,0.6098533704168061,FALSE,0.06287716253453257
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,PGS003852,0.65,0.6060349637466489,0.6939650362533512,0.6399331875663794,0.6599349270961022,0.62,0.556624147180428,0.683375852819572,0.6049592968994835,0.6348137330222169,FALSE,0.04856211979735514
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS003867,0.7299999999999999,0.7046299419807445,0.7553700580192553,0.7249704835292695,0.7349711644935536,0.7760000000000001,0.7357189582667535,0.8162810417332468,0.7689204379189964,0.7829238987074219,FALSE,0.03335714302582493
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,PGS003867,0.7299999999999999,0.7046299419807445,0.7553700580192553,0.7249704835292695,0.7349711644935536,0.7383999999999998,0.6399049223177092,0.8368950776822904,0.7189327762294498,0.7569746747889252,FALSE,0.07992040289336522
Breast cancer,Train: European-only,South Asian,PGS003983,0.6463816592549446,0.6305859212665291,0.6621773972433601,0.642762897274841,0.6499837255373265,0.6102149570101991,0.49175397349845207,0.7286759405219462,0.5816997353358512,0.6379960229918558,FALSE,0.09067991753009041
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS003984,0.5391736537013785,0.527163122956595,0.551184184446162,0.5361880832667424,0.5421564160908287,0.5319041362310171,0.44001043403498585,0.6237978384270483,0.5089731524363531,0.5547011494406381,FALSE,0.06909668898641019
Breast cancer,Train: European-only,South Asian,PGS003999,0.6472870008543842,0.6315264023746859,0.6630475993340824,0.6436804558252526,0.6508768410351964,0.6204964523215648,0.49751470947751736,0.7434781951656122,0.5911385794253905,0.6489979934742354,FALSE,0.09448020169137683
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004000,0.5319858957582397,0.5199435279381533,0.5440282635783261,0.5289865052441621,0.5349829765439051,0.5130099989925749,0.425701101510085,0.6003188964750649,0.4911866248620117,0.5347838829257444,FALSE,0.06553501354932045
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004015,0.5363805942966962,0.5243288074688722,0.5484323811245201,0.5333823203974912,0.5393762401865826,0.5416046070875377,0.4548554469422811,0.6283537672327942,0.5200030564006412,0.5630508884177239,FALSE,0.06530287881507035
Breast cancer,Train: European-only,South Asian,PGS004025,0.6542117922695923,0.6383959108452744,0.6700276736939101,0.6506252710211382,0.6577808614295976,0.6186141747828695,0.4964974444201047,0.7407309051456343,0.5894164445278949,0.6469791566981018,FALSE,0.09375174844753253
Breast cancer,Train: European-only,South Asian,PGS004040,0.6544881893388007,0.6386586193917618,0.6703177592858396,0.6508998946956798,0.6580589769435856,0.6183167669779875,0.49713792468445883,0.7394956092715163,0.5893383966129153,0.6464769154733342,FALSE,0.09301869379818206
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004041,0.541378765061592,0.5293324354070782,0.5534250947161058,0.5383863529823018,0.5443681954543137,0.5429242467721682,0.4545034294017868,0.6313450641425497,0.5209127536932502,0.5647693948504718,FALSE,0.06657566929207781
Breast cancer,Train: European-only,South Asian,PGS004053,0.6480851940790464,0.6323550467248126,0.6638153414332802,0.6444893050518381,0.6516643698411535,0.6130561646447642,0.49217290570091954,0.7339394235886089,0.5840189540257941,0.6413113354218367,FALSE,0.09262808816677215
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004054,0.542939116366216,0.5309099442814025,0.5549682884510294,0.5399524957026193,0.5459226533491098,0.5383003506201426,0.4500544948576529,0.6265462063826323,0.5163082759391219,0.5601443620996679,FALSE,0.06640184428296436
Breast cancer,Train: European-only,South Asian,PGS004069,0.6506926705143116,0.6349055775062992,0.666479763522324,0.6470959130244941,0.6542723556075102,0.6172405064731935,0.49849012847563734,0.7359908844707497,0.5888229229183461,0.6448785791301691,FALSE,0.09111230534058057
