catalog_snapshot,trait_label,trained_bucket,target_ancestry,side,evaluation_ancestry,pgs_id,pgs_name,dev_method,n_variants,performance_id,sampleset_id,auc,estimate_ci_lower,estimate_ci_upper,ci_source,n_individuals,n_cases,n_controls,pct_male,covariates_txt,cohort_txt,or_txt,hr_txt,catalog_all_of_us
20260923,Breast Carcinoma,Train: European-only,South Asian,Target,South Asian,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023182,PSS012141,0.635,0.559,0.712,reported_native_or_parsed,4435,43,4392,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005346,LDpred2,LDpred2,961355,PPM023138,PSS012140,0.663,0.654,0.673,reported_native_or_parsed,212360,3083,209277,0,-,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005346,LDpred2,LDpred2,961355,PPM023143,PSS012138,0.658,0.619,0.697,reported_native_or_parsed,8291,176,8115,0,-,QSKIN,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005346,LDpred2,LDpred2,961355,PPM023148,PSS012137,0.683,0.644,0.722,reported_native_or_parsed,2654,194,2460,0,-,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005346,LDpred2,LDpred2,961355,PPM023163,PSS012140,0.667,0.657,0.676,reported_native_or_parsed,212360,3083,209277,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005346,LDpred2,LDpred2,961355,PPM023168,PSS012138,0.656,0.616,0.696,reported_native_or_parsed,8291,176,8115,0,Age-specific absolute risk adjusted by PGS relative risk,QSKIN,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005346,LDpred2,LDpred2,961355,PPM023173,PSS012137,0.676,0.636,0.715,reported_native_or_parsed,2654,194,2460,0,Age-specific absolute risk adjusted by PGS relative risk,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,Target,South Asian,PGS005346,LDpred2,LDpred2,961355,PPM023158,PSS012141,0.67,0.59,0.75,reported_native_or_parsed,4435,43,4392,0,-,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,Target,South Asian,PGS005346,LDpred2,LDpred2,961355,PPM023183,PSS012141,0.642,0.558,0.727,reported_native_or_parsed,4435,43,4392,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005347,PRS-CS,PRS-CS,941932,PPM023139,PSS012140,0.658,0.649,0.668,reported_native_or_parsed,212360,3083,209277,0,-,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005347,PRS-CS,PRS-CS,941932,PPM023144,PSS012138,0.662,0.622,0.701,reported_native_or_parsed,8291,176,8115,0,-,QSKIN,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005347,PRS-CS,PRS-CS,941932,PPM023149,PSS012137,0.673,0.634,0.712,reported_native_or_parsed,2654,194,2460,0,-,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005347,PRS-CS,PRS-CS,941932,PPM023164,PSS012140,0.662,0.652,0.672,reported_native_or_parsed,212360,3083,209277,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005347,PRS-CS,PRS-CS,941932,PPM023169,PSS012138,0.656,0.616,0.696,reported_native_or_parsed,8291,176,8115,0,Age-specific absolute risk adjusted by PGS relative risk,QSKIN,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005347,PRS-CS,PRS-CS,941932,PPM023174,PSS012137,0.663,0.625,0.701,reported_native_or_parsed,2654,194,2460,0,Age-specific absolute risk adjusted by PGS relative risk,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,Target,South Asian,PGS005347,PRS-CS,PRS-CS,941932,PPM023159,PSS012141,0.678,0.597,0.76,reported_native_or_parsed,4435,43,4392,0,-,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,Target,South Asian,PGS005347,PRS-CS,PRS-CS,941932,PPM023184,PSS012141,0.653,0.569,0.737,reported_native_or_parsed,4435,43,4392,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005348,SBayesR,SBayesR,789305,PPM023140,PSS012140,0.663,0.654,0.673,reported_native_or_parsed,212360,3083,209277,0,-,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005348,SBayesR,SBayesR,789305,PPM023145,PSS012138,0.65,0.611,0.69,reported_native_or_parsed,8291,176,8115,0,-,QSKIN,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005348,SBayesR,SBayesR,789305,PPM023150,PSS012137,0.666,0.627,0.706,reported_native_or_parsed,2654,194,2460,0,-,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005348,SBayesR,SBayesR,789305,PPM023165,PSS012140,0.667,0.657,0.676,reported_native_or_parsed,212360,3083,209277,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005348,SBayesR,SBayesR,789305,PPM023170,PSS012138,0.646,0.607,0.685,reported_native_or_parsed,8291,176,8115,0,Age-specific absolute risk adjusted by PGS relative risk,QSKIN,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005348,SBayesR,SBayesR,789305,PPM023175,PSS012137,0.66,0.621,0.699,reported_native_or_parsed,2654,194,2460,0,Age-specific absolute risk adjusted by PGS relative risk,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,Target,South Asian,PGS005348,SBayesR,SBayesR,789305,PPM023160,PSS012141,0.657,0.575,0.74,reported_native_or_parsed,4435,43,4392,0,-,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,Target,South Asian,PGS005348,SBayesR,SBayesR,789305,PPM023185,PSS012141,0.639,0.556,0.723,reported_native_or_parsed,4435,43,4392,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast cancer,Train: European-only,East Asian,European,European,PGS001336,GBE_cancer1002,snpnet,555,PPM009168,PSS007618,0.80561,0.79545,0.81577,reported_native_or_parsed,24905,954,23951,NA,"age, sex, UKB array type, Genotype PCs",UKB,NA,NA,FALSE
20260923,Breast cancer,Train: European-only,East Asian,European,European,PGS001336,GBE_cancer1002,snpnet,555,PPM009170,PSS007620,0.80961,0.80348,0.81573,reported_native_or_parsed,67425,2471,64954,NA,"age, sex, UKB array type, Genotype PCs",UKB,NA,NA,FALSE
20260923,Breast cancer,Train: European-only,East Asian,Target,East Asian,PGS001336,GBE_cancer1002,snpnet,555,PPM009167,PSS007617,0.7602,0.71475,0.80565,reported_native_or_parsed,1704,53,1651,NA,"age, sex, UKB array type, Genotype PCs",UKB,NA,NA,FALSE
