performance_id,pgs_id,sampleset_id,reported_trait,auc_parsed_single,auc_parsed_ci_lower,auc_parsed_ci_upper,auc_native,ci_native_lower,ci_native_upper,auc_native_evaldf,ci_native_lower_evaldf,ci_native_upper_evaldf,auc_native_any,ci_native_lower_any,ci_native_upper_any,auc_single,reported_ci_lower,reported_ci_upper,auc,estimate_ci_lower,estimate_ci_upper,ancestry_eval,train_bucket
PPM006732,PGS001592,PSS006573,Vol. of grey matter in Precuneous Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006733,PGS001592,PSS006574,Vol. of grey matter in Precuneous Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006734,PGS001592,PSS006575,Vol. of grey matter in Precuneous Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006736,PGS001556,PSS006577,Vol. of grey matter in Cuneal Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006737,PGS001556,PSS006578,Vol. of grey matter in Cuneal Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006738,PGS001556,PSS006579,Vol. of grey matter in Cuneal Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006739,PGS001556,PSS006580,Vol. of grey matter in Cuneal Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006741,PGS001558,PSS006582,Vol. of grey matter in Frontal Orbital Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006742,PGS001558,PSS006583,Vol. of grey matter in Frontal Orbital Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006743,PGS001558,PSS006584,Vol. of grey matter in Frontal Orbital Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006744,PGS001558,PSS006585,Vol. of grey matter in Frontal Orbital Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006746,PGS001559,PSS006587,Vol. of grey matter in Frontal Orbital Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006747,PGS001559,PSS006588,Vol. of grey matter in Frontal Orbital Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006748,PGS001559,PSS006589,Vol. of grey matter in Frontal Orbital Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006749,PGS001559,PSS006590,Vol. of grey matter in Frontal Orbital Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006751,PGS001583,PSS006592,"Vol. of grey matter in Parahippocampal Gyrus, anterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006752,PGS001583,PSS006593,"Vol. of grey matter in Parahippocampal Gyrus, anterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006753,PGS001583,PSS006594,"Vol. of grey matter in Parahippocampal Gyrus, anterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006754,PGS001583,PSS006595,"Vol. of grey matter in Parahippocampal Gyrus, anterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006756,PGS001584,PSS006597,"Vol. of grey matter in Parahippocampal Gyrus, anterior division (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006757,PGS001584,PSS006598,"Vol. of grey matter in Parahippocampal Gyrus, anterior division (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006758,PGS001584,PSS006599,"Vol. of grey matter in Parahippocampal Gyrus, anterior division (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006759,PGS001584,PSS006600,"Vol. of grey matter in Parahippocampal Gyrus, anterior division (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006761,PGS001585,PSS006602,"Vol. of grey matter in Parahippocampal Gyrus, posterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006762,PGS001585,PSS006603,"Vol. of grey matter in Parahippocampal Gyrus, posterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006763,PGS001585,PSS006604,"Vol. of grey matter in Parahippocampal Gyrus, posterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006764,PGS001585,PSS006605,"Vol. of grey matter in Parahippocampal Gyrus, posterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006766,PGS001586,PSS006607,"Vol. of grey matter in Parahippocampal Gyrus, posterior division (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006767,PGS001586,PSS006608,"Vol. of grey matter in Parahippocampal Gyrus, posterior division (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006768,PGS001586,PSS006609,"Vol. of grey matter in Parahippocampal Gyrus, posterior division (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006769,PGS001586,PSS006610,"Vol. of grey matter in Parahippocampal Gyrus, posterior division (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006771,PGS001576,PSS006612,Vol. of grey matter in Lingual Gyrus (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006772,PGS001576,PSS006613,Vol. of grey matter in Lingual Gyrus (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006773,PGS001576,PSS006614,Vol. of grey matter in Lingual Gyrus (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006774,PGS001576,PSS006615,Vol. of grey matter in Lingual Gyrus (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006776,PGS001603,PSS006617,"Vol. of grey matter in Temporal Fusiform Cortex, anterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006777,PGS001603,PSS006618,"Vol. of grey matter in Temporal Fusiform Cortex, anterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006778,PGS001603,PSS006619,"Vol. of grey matter in Temporal Fusiform Cortex, anterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006779,PGS001603,PSS006620,"Vol. of grey matter in Temporal Fusiform Cortex, anterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006781,PGS001604,PSS006622,"Vol. of grey matter in Temporal Fusiform Cortex, posterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006782,PGS001604,PSS006623,"Vol. of grey matter in Temporal Fusiform Cortex, posterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006783,PGS001604,PSS006624,"Vol. of grey matter in Temporal Fusiform Cortex, posterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006784,PGS001604,PSS006625,"Vol. of grey matter in Temporal Fusiform Cortex, posterior division (L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006786,PGS001605,PSS006627,"Vol. of grey matter in Temporal Fusiform Cortex, posterior division (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006787,PGS001605,PSS006628,"Vol. of grey matter in Temporal Fusiform Cortex, posterior division (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006788,PGS001605,PSS006629,"Vol. of grey matter in Temporal Fusiform Cortex, posterior division (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006789,PGS001605,PSS006630,"Vol. of grey matter in Temporal Fusiform Cortex, posterior division (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006791,PGS001580,PSS006632,Vol. of grey matter in Occipital Fusiform Gyrus (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006792,PGS001580,PSS006633,Vol. of grey matter in Occipital Fusiform Gyrus (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006793,PGS001580,PSS006634,Vol. of grey matter in Occipital Fusiform Gyrus (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006794,PGS001580,PSS006635,Vol. of grey matter in Occipital Fusiform Gyrus (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006796,PGS001557,PSS006637,Vol. of grey matter in Frontal Operculum Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006797,PGS001557,PSS006638,Vol. of grey matter in Frontal Operculum Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006798,PGS001557,PSS006639,Vol. of grey matter in Frontal Operculum Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006799,PGS001557,PSS006640,Vol. of grey matter in Frontal Operculum Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006801,PGS001548,PSS006642,Vol. of grey matter in Central Opercular Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006802,PGS001548,PSS006643,Vol. of grey matter in Central Opercular Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006803,PGS001548,PSS006644,Vol. of grey matter in Central Opercular Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006804,PGS001548,PSS006645,Vol. of grey matter in Central Opercular Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006806,PGS001549,PSS006647,Vol. of grey matter in Central Opercular Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006807,PGS001549,PSS006648,Vol. of grey matter in Central Opercular Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006808,PGS001549,PSS006649,Vol. of grey matter in Central Opercular Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006809,PGS001549,PSS006650,Vol. of grey matter in Central Opercular Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006811,PGS001587,PSS006657,Vol. of grey matter in Planum Polare (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006812,PGS001587,PSS006658,Vol. of grey matter in Planum Polare (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006813,PGS001587,PSS006659,Vol. of grey matter in Planum Polare (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006814,PGS001587,PSS006660,Vol. of grey matter in Planum Polare (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006816,PGS001588,PSS006662,Vol. of grey matter in Planum Polare (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006817,PGS001588,PSS006663,Vol. of grey matter in Planum Polare (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006818,PGS001588,PSS006664,Vol. of grey matter in Planum Polare (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006819,PGS001588,PSS006665,Vol. of grey matter in Planum Polare (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006821,PGS001561,PSS006667,Vol. of grey matter in Heschl's Gyrus (includes H1 and H2) (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006822,PGS001561,PSS006668,Vol. of grey matter in Heschl's Gyrus (includes H1 and H2) (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006823,PGS001561,PSS006669,Vol. of grey matter in Heschl's Gyrus (includes H1 and H2) (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006824,PGS001561,PSS006670,Vol. of grey matter in Heschl's Gyrus (includes H1 and H2) (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006826,PGS001562,PSS006672,Vol. of grey matter in Heschl's Gyrus (includes H1 and H2) (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006827,PGS001562,PSS006673,Vol. of grey matter in Heschl's Gyrus (includes H1 and H2) (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006828,PGS001562,PSS006674,Vol. of grey matter in Heschl's Gyrus (includes H1 and H2) (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006829,PGS001562,PSS006675,Vol. of grey matter in Heschl's Gyrus (includes H1 and H2) (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006831,PGS001589,PSS006677,Vol. of grey matter in Planum Temporale (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006832,PGS001589,PSS006678,Vol. of grey matter in Planum Temporale (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006833,PGS001589,PSS006679,Vol. of grey matter in Planum Temporale (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006834,PGS001589,PSS006680,Vol. of grey matter in Planum Temporale (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006836,PGS001601,PSS006682,Vol. of grey matter in Supracalcarine Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006837,PGS001601,PSS006683,Vol. of grey matter in Supracalcarine Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006838,PGS001601,PSS006684,Vol. of grey matter in Supracalcarine Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006839,PGS001601,PSS006685,Vol. of grey matter in Supracalcarine Cortex (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006841,PGS001602,PSS006687,Vol. of grey matter in Supracalcarine Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006842,PGS001602,PSS006688,Vol. of grey matter in Supracalcarine Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006843,PGS001602,PSS006689,Vol. of grey matter in Supracalcarine Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006844,PGS001602,PSS006690,Vol. of grey matter in Supracalcarine Cortex (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006846,PGS001581,PSS006692,Vol. of grey matter in Occipital Pole (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006847,PGS001581,PSS006693,Vol. of grey matter in Occipital Pole (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006848,PGS001581,PSS006694,Vol. of grey matter in Occipital Pole (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006849,PGS001581,PSS006695,Vol. of grey matter in Occipital Pole (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006851,PGS001608,PSS006697,Vol. of grey matter in Thalamus (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006852,PGS001608,PSS006698,Vol. of grey matter in Thalamus (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006853,PGS001608,PSS006699,Vol. of grey matter in Thalamus (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006854,PGS001608,PSS006700,Vol. of grey matter in Thalamus (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006856,PGS001609,PSS006702,Vol. of grey matter in Thalamus (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006857,PGS001609,PSS006703,Vol. of grey matter in Thalamus (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006858,PGS001609,PSS006704,Vol. of grey matter in Thalamus (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006859,PGS001609,PSS006705,Vol. of grey matter in Thalamus (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006861,PGS001593,PSS006707,Vol. of grey matter in Putamen (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006862,PGS001593,PSS006708,Vol. of grey matter in Putamen (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006863,PGS001593,PSS006709,Vol. of grey matter in Putamen (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006864,PGS001593,PSS006710,Vol. of grey matter in Putamen (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006866,PGS001594,PSS006712,Vol. of grey matter in Putamen (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006867,PGS001594,PSS006713,Vol. of grey matter in Putamen (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006868,PGS001594,PSS006714,Vol. of grey matter in Putamen (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006869,PGS001594,PSS006715,Vol. of grey matter in Putamen (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006871,PGS001563,PSS006717,Vol. of grey matter in Hippocampus (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006872,PGS001563,PSS006718,Vol. of grey matter in Hippocampus (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006873,PGS001563,PSS006719,Vol. of grey matter in Hippocampus (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006874,PGS001563,PSS006720,Vol. of grey matter in Hippocampus (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006876,PGS001564,PSS006722,Vol. of grey matter in Hippocampus (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006877,PGS001564,PSS006723,Vol. of grey matter in Hippocampus (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006878,PGS001564,PSS006724,Vol. of grey matter in Hippocampus (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006879,PGS001564,PSS006725,Vol. of grey matter in Hippocampus (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006881,PGS001546,PSS006727,Vol. of grey matter in Amygdala (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006882,PGS001546,PSS006728,Vol. of grey matter in Amygdala (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006883,PGS001546,PSS006729,Vol. of grey matter in Amygdala (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006884,PGS001546,PSS006730,Vol. of grey matter in Amygdala (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006886,PGS001612,PSS006732,Vol. of grey matter in Ventral Striatum (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006887,PGS001612,PSS006733,Vol. of grey matter in Ventral Striatum (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006888,PGS001612,PSS006734,Vol. of grey matter in Ventral Striatum (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Asian,Train: European-only
PPM006889,PGS001612,PSS006735,Vol. of grey matter in Ventral Striatum (L),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM006891,PGS001613,PSS006737,Vol. of grey matter in Ventral Striatum (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: European-only
PPM006892,PGS001613,PSS006738,Vol. of grey matter in Ventral Striatum (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
