performance_id,pgs_id,sampleset_id,reported_trait,ancestry_eval,train_bucket,auc_single,n_cases,n_controls,n_total,ci_lo_logit,ci_hi_logit
PPM005189,PGS001357,PSS003606,Type 2 diabetes,European,Train: European-only,0.6446,4659,173479,178138,0.6358716826637232,0.6532331928046029
PPM009233,PGS001774,PSS007662,Parkinson's disease,European,Train: European-only,0.55,235,464,699,0.5041606928253382,0.5950057585719118
PPM009235,PGS001774,PSS007662,Parkinson's disease,European,Train: European-only,0.55,235,464,699,0.5041606928253382,0.5950057585719118
PPM009247,PGS001777,PSS007667,Cirrhosis,European,Train: European-only,0.665,917,473,1390,0.6356497483206447,0.6931273591933832
PPM009248,PGS001777,PSS007668,Cirrhosis,European,Train: European-only,0.606,1162,604,1766,0.5787299644380501,0.6326253498542082
PPM009249,PGS001777,PSS007669,Cirrhosis,European,Train: European-only,0.619,594,6304,6898,0.5937478082631252,0.6436246671035154
PPM009250,PGS001777,PSS007669,Cirrhosis,European,Train: European-only,0.636,594,6304,6898,0.6107598654095685,0.660513189035222
PPM009251,PGS001777,PSS007667,Cirrhosis (males),European,Train: European-only,0.671,917,473,1390,0.6418311493779297,0.698907744198201
PPM009252,PGS001777,PSS007667,Cirrhosis (females),European,Train: European-only,0.65,917,473,1390,0.6202233145425693,0.6786516509118845
PPM009253,PGS001777,PSS007668,Cirrhosis (males),European,Train: European-only,0.592,1162,604,1766,0.564494010698774,0.618941462722519
PPM009254,PGS001777,PSS007668,Cirrhosis (females),European,Train: European-only,0.635,1162,604,1766,0.6083095512713075,0.6608856053501967
PPM009255,PGS001777,PSS007669,Cirrhosis (males),European,Train: European-only,0.635,594,6304,6898,0.6097580259710089,0.6595209370275193
PPM009256,PGS001777,PSS007669,Cirrhosis (females),European,Train: European-only,0.554,594,6304,6898,0.5290622235217057,0.5786688792784717
PPM009262,PGS001778,PSS007670,Breast cancer,European,Train: Multi incl. EUR,0.548,880,900,1780,0.5211980843179397,0.5745263685622785
PPM009263,PGS001778,PSS007670,Breast cancer,European,Train: Multi incl. EUR,0.578,880,900,1780,0.5513546505857674,0.6041988832933556
PPM009264,PGS001778,PSS007670,Breast cancer,European,Train: Multi incl. EUR,0.578,880,900,1780,0.5513546505857674,0.6041988832933556
PPM009288,PGS001784,PSS007707,Abdominal aortic aneurysm,European,Train: Multi incl. EUR,0.868,1099,349667,350767,0.8537446804703943,0.8810594444478788
PPM009289,PGS001785,PSS007708,Acute appendicitis,European,Train: Multi incl. EUR,0.584,2985,356045,359031,0.573189110715815,0.5947306676934327
PPM009290,PGS001786,PSS007709,Appendectomy,European,Train: European-only,0.574,2173,354938,357112,0.5613675189638526,0.5865366271798558
PPM009291,PGS001787,PSS007710,Asthma,European,Train: Multi incl. EUR,0.64,26473,325104,351578,0.6362811412901421,0.6437021271448504
PPM009292,PGS001788,PSS007711,Chronic obstructive pulmonary disease,European,Train: Multi incl. EUR,0.715,12063,325104,337168,0.7097184754995237,0.7202233111295872
PPM009293,PGS001789,PSS007712,Gout,European,Train: Multi incl. EUR,0.807,3783,355561,359345,0.7984393216040158,0.8152812057639278
PPM009294,PGS001790,PSS007713,Heart Failure,European,Train: Multi incl. EUR,0.75,6285,352619,358905,0.7428967387902313,0.7569712122980309
PPM009295,PGS001791,PSS007714,Idiopathic pulmonary fibrosis,European,Train: Multi incl. EUR,0.758,1052,346297,347350,0.7405895556594477,0.774597576995632
PPM009296,PGS001792,PSS007715,Primary open-angle glaucoma,European,Train: Multi incl. EUR,0.777,1266,346129,347396,0.7614589231642176,0.7918054031401641
PPM009297,PGS001793,PSS007716,Stroke,European,Train: Multi incl. EUR,0.706,1650,348757,350408,0.6916436970105508,0.719958536950402
PPM009298,PGS001794,PSS007717,Thyroid cancer,European,Train: Multi incl. EUR,0.676,365,358110,358476,0.6447834300071,0.7057252800328248
PPM009299,PGS001795,PSS007718,Uterine cancer,European,Train: Multi incl. EUR,0.66,1323,168952,170276,0.6436835626445235,0.6759454248413512
PPM009300,PGS001796,PSS007719,Venous thromboembolism,European,Train: Multi incl. EUR,0.675,6549,349719,356269,0.6677164205963272,0.6821999126349811
PPM009302,PGS001787,PSS007720,Asthma,Middle Eastern or North African,Train: Multi incl. EUR,0.689,134,1394,1529,0.6353683686774702,0.7379961469178125
PPM009307,PGS001787,PSS007706,Asthma,East Asian,Train: Multi incl. EUR,0.679,142,2490,2633,0.6274495422892958,0.7265263020680551
PPM009311,PGS001782,PSS007693,Asthma,European,Train: Multi incl. EUR,0.659,1061,6066,7128,0.6397948955930213,0.6776969738419449
