pgs_id,ancestry_display,train_bucket,n_eval,cases_total,ctrls_total,auc_mean_w,auc_mean_unw,n_records,n_label
PGS001046,South Asian,Train: European-only,7192,1964,5228,0.7412899999999999,0.74129,1,7K
PGS001047,European,Train: European-only,84860,13049,71811,0.5949879279377829,0.5930500000000001,2,85K
PGS001047,East Asian,Train: European-only,1577,152,1425,0.68329,0.68329,1,2K
PGS001047,South Asian,Train: European-only,7192,570,6622,0.70233,0.70233,1,7K
PGS001048,European,Train: European-only,92330,1241,91089,0.7287658125925832,0.736125,2,92K
PGS001048,East Asian,Train: European-only,1704,8,1696,0.79982,0.79982,1,2K
PGS001048,South Asian,Train: European-only,7831,195,7636,0.7385300000000001,0.73853,1,8K
PGS001049,European,Train: European-only,88998,26041,62957,0.6220135329828403,0.616635,2,89K
PGS001049,East Asian,Train: European-only,1452,429,1023,0.59928,0.59928,1,1K
PGS001049,South Asian,Train: European-only,6771,2703,4068,0.56132,0.56132,1,7K
PGS001050,European,Train: European-only,92330,7999,84331,0.6336881999334756,0.6368849999999999,2,92K
PGS001050,East Asian,Train: European-only,1704,59,1645,0.70285,0.70285,1,2K
PGS001050,South Asian,Train: European-only,7831,606,7225,0.66639,0.66639,1,8K
PGS001051,European,Train: European-only,92330,512,91818,0.7743406882768004,0.7905949999999999,2,92K
PGS001051,East Asian,Train: European-only,1704,3,1701,0.94435,0.94435,1,2K
PGS001051,South Asian,Train: European-only,7831,16,7815,0.73708,0.73708,1,8K
PGS001054,European,Train: European-only,86048,32525,53523,0.6313974726913028,0.6325000000000001,2,86K
PGS001054,East Asian,Train: European-only,1487,557,930,0.67171,0.67171,1,1K
PGS001054,South Asian,Train: European-only,6976,2920,4056,0.6090499999999999,0.60905,1,7K
PGS001058,European,Train: European-only,75792,13357,62435,0.5580341509617851,0.56884,2,76K
PGS001058,East Asian,Train: European-only,988,115,873,0.56685,0.56685,1,988
PGS001058,South Asian,Train: European-only,5759,1252,4507,0.56331,0.56331,1,6K
PGS001059,European,Train: European-only,75792,14473,61319,0.5913857917936307,0.595885,2,76K
