trait_id,trait_label,efo_id,efo_label,reported_trait,n_rows
custom:cholelithiasis_and_cholecystitis,Cholelithiasis and cholecystitis,NA,NA,Cholelithiasis and cholecystitis,5
custom:cholesterolosis_of_gallbladder,Cholesterolosis of gallbladder,NA,NA,Cholesterolosis of gallbladder,5
custom:chronic_hepatitis,Chronic hepatitis,NA,NA,Chronic hepatitis,5
custom:chronic_liver_disease_and_cirrhosis,Chronic liver disease and cirrhosis,NA,NA,Chronic liver disease and cirrhosis,5
custom:chronic_obstructive_asthma,Chronic obstructive asthma,NA,NA,Chronic obstructive asthma,5
custom:chronic_pharyngitis_and_nasopharyngitis,Chronic pharyngitis and nasopharyngitis,NA,NA,Chronic pharyngitis and nasopharyngitis,5
custom:chronic_renal_failure_ckd,Chronic renal failure CKD,NA,NA,Chronic renal failure CKD,5
custom:chronic_sinusitis,Chronic sinusitis,NA,NA,Chronic sinusitis,5
custom:cirrhosis,Cirrhosis,NA,NA,Cirrhosis,5
custom:cirrhosis_of_liver_without_mention_of_alcohol,Cirrhosis of liver without mention of alcohol,NA,NA,Cirrhosis of liver without mention of alcohol,5
custom:clinical_osteoarthritis,Clinical osteoarthritis,NA,NA,Clinical osteoarthritis,5
custom:coronary_atherosclerosis,Coronary atherosclerosis,NA,NA,Coronary atherosclerosis,5
custom:cough,Cough,NA,NA,Cough,5
custom:cyst_of_kidney_acquired,Cyst of kidney acquired,NA,NA,Cyst of kidney acquired,5
custom:cystic_mastopathy,Cystic mastopathy,NA,NA,Cystic mastopathy,5
custom:degeneration_of_macula_and_posterior_pole_of_retina,Degeneration of macula and posterior pole of retina,NA,NA,Degeneration of macula and posterior pole of retina,5
custom:delirium_dementia_and_amnestic_and_other_cognitive_disorders,Delirium dementia and amnestic and other cognitive disorders,NA,NA,Delirium dementia and amnestic and other cognitive disorders,5
custom:dementias,Dementias,NA,NA,Dementias,5
custom:depression,Depression,NA,NA,Depression,5
custom:dermatophytosis_of_nail,Dermatophytosis of nail,NA,NA,Dermatophytosis of nail,5
custom:dermatophytosis_of_the_body,Dermatophytosis of the body,NA,NA,Dermatophytosis of the body,5
custom:develomental_delays_and_disorders,Develomental delays and disorders,NA,NA,Develomental delays and disorders,5
custom:diseases_of_pancreas,Diseases of pancreas,NA,NA,Diseases of pancreas,5
custom:diseases_of_sebaceous_glands,Diseases of sebaceous glands,NA,NA,Diseases of sebaceous glands,5
custom:diseases_of_the_jaws,Diseases of the jaws,NA,NA,Diseases of the jaws,5
custom:disorder_of_skin_and_subcutaneous_tissue_nos,Disorder of skin and subcutaneous tissue NOS,NA,NA,Disorder of skin and subcutaneous tissue NOS,5
custom:disorders_involving_the_immune_mechanism,Disorders involving the immune mechanism,NA,NA,Disorders involving the immune mechanism,5
custom:disorders_of_iris_and_ciliary_body,Disorders of iris and ciliary body,NA,NA,Disorders of iris and ciliary body,5
custom:disorders_of_lipoid_metabolism,Disorders of lipoid metabolism,NA,NA,Disorders of lipoid metabolism,5
custom:disorders_of_menstruation_and_other_abnormal_bleeding_from_female_genital_tract,Disorders of menstruation and other abnormal bleeding from female genital tract,NA,NA,Disorders of menstruation and other abnormal bleeding from female genital tract,5
custom:disorders_of_muscle_ligament_and_fascia,Disorders of muscle ligament and fascia,NA,NA,Disorders of muscle ligament and fascia,5
custom:disorders_of_penis,Disorders of penis,NA,NA,Disorders of penis,5
custom:dizziness_and_giddiness_light_headedness_and_vertigo,Dizziness and giddiness Light headedness and vertigo,NA,NA,Dizziness and giddiness Light headedness and vertigo,5
custom:drinking_status,Drinking Status,NA,NA,Drinking Status,5
custom:duodenal_ulcer,Duodenal ulcer,NA,NA,Duodenal ulcer,5
custom:elevated_prostate_specific_antigen_psa,Elevated prostate specific antigen PSA,NA,NA,Elevated prostate specific antigen PSA,5
custom:end_stage_renal_disease,End stage renal disease,NA,NA,End stage renal disease,5
custom:epilepsy,Epilepsy,NA,NA,Epilepsy,5
custom:er_negative_breast_cancer,ER-negative breast cancer,NA,NA,ER-negative breast cancer,5
