trait_id,trait_label,efo_id,efo_label,reported_trait,n_rows
custom:incident_pancreatic_cancer,Incident Pancreatic cancer,NA,NA,Incident Pancreatic cancer,1
custom:incident_venous_thromboembolism_in_individuals_with_inflammatory_bowel_disease,Incident venous thromboembolism in individuals with inflammatory bowel disease,NA,NA,Incident venous thromboembolism in individuals with inflammatory bowel disease,1
custom:infiltrating_endometriosis,Infiltrating endometriosis,NA,NA,Infiltrating endometriosis,1
custom:inflammatory_bowel_disease,Inflammatory Bowel Disease,NA,NA,Inflammatory Bowel Disease,1
custom:intermediate_age_related_macular_degeneration_clinical_classification_,Intermediate age-related macular degeneration (Clinical Classification),NA,NA,Intermediate age-related macular degeneration (Clinical Classification),1
custom:ischemic_stroke,Ischemic stroke,NA,NA,Ischemic stroke,1
custom:ischemic_stroke_in_atrial_fibrillation_cases,Ischemic stroke in atrial fibrillation cases,NA,NA,Ischemic stroke in atrial fibrillation cases,1
custom:isolated_rem_sleep_behavior_disorder,Isolated REM sleep behavior disorder,NA,NA,Isolated REM sleep behavior disorder,1
custom:keratinocyte_cancer,Keratinocyte cancer,NA,NA,Keratinocyte cancer,1
custom:keratoconus,Keratoconus,NA,NA,Keratoconus,1
custom:keratoconus_with_central_corneal_thickness_variants,Keratoconus with central corneal thickness variants,NA,NA,Keratoconus with central corneal thickness variants,1
custom:keratoconus_with_corneal_resistance_factor_variants,Keratoconus with ﻿corneal resistance factor variants,NA,NA,Keratoconus with ﻿corneal resistance factor variants,1
custom:late_age_related_macular_degeneration_clinical_classification_,Late age-related macular degeneration (Clinical Classification),NA,NA,Late age-related macular degeneration (Clinical Classification),1
custom:late_cad,Late CAD,NA,NA,Late CAD,1
custom:late_onset_alzheimer_s_disease,Late-onset Alzheimer's disease,NA,NA,Late-onset Alzheimer's disease,1
custom:lethal_prostate_cancer_risk_in_10_years,Lethal prostate cancer risk in 10 years,NA,NA,Lethal prostate cancer risk in 10 years,1
custom:localized_prostate_cancer_risk_in_10_years,Localized prostate cancer risk in 10 years,NA,NA,Localized prostate cancer risk in 10 years,1
custom:low_density_lipoprotein_cholesterol_level_4_9mmol_l_in_individuals_who_have_familial_hypercholestrolaemia_and_no_known_mutation,Low-density lipoprotein cholesterol level >4.9mmol/L in individuals who have familial hypercholestrolaemia and no known mutation,NA,NA,Low-density lipoprotein cholesterol level >4.9mmol/L in individuals who have familial hypercholestrolaemia and no known mutation,1
custom:lower_back_pain,Lower back pain,NA,NA,Lower back pain,1
custom:lung_adenocarcinoma,lung adenocarcinoma,NA,NA,lung adenocarcinoma,1
custom:lung_cancer,lung cancer,NA,NA,lung cancer,1
custom:lung_cancer_in_individuals_who_have_never_smoked,Lung cancer in individuals who have never smoked,NA,NA,Lung cancer in individuals who have never smoked,1
custom:lung_squamous_cell_carcinoma,lung squamous cell carcinoma,NA,NA,lung squamous cell carcinoma,1
custom:lymphoid_leukemia,Lymphoid leukemia,NA,NA,Lymphoid leukemia,1
custom:male_estrogen_receptor_positive_breast_cancer_in_brca1_carriers,Male estrogen receptor positive breast cancer in BRCA1 carriers,NA,NA,Male estrogen receptor positive breast cancer in BRCA1 carriers,1
custom:male_estrogen_receptor_positive_breast_cancer_in_brca2_carriers,Male estrogen receptor positive breast cancer in BRCA2 carriers,NA,NA,Male estrogen receptor positive breast cancer in BRCA2 carriers,1
custom:metastatic_prostate_cancer,Metastatic prostate cancer,NA,NA,Metastatic prostate cancer,1
custom:mild_early_age_related_macular_degeneration_3cacss_,Mild early age-related macular degeneration (3CACSS),NA,NA,Mild early age-related macular degeneration (3CACSS),1
custom:mild_myopia_aged_18_years_,Mild myopia (aged >18 years),NA,NA,Mild myopia (aged >18 years),1
custom:moderate_early_age_related_macular_degeneration_3cacss_,Moderate early age-related macular degeneration (3CACSS),NA,NA,Moderate early age-related macular degeneration (3CACSS),1
custom:moderate_myopia_aged_18_years_,Moderate myopia (aged >18 years),NA,NA,Moderate myopia (aged >18 years),1
custom:multiple_sclerosis,Multiple Sclerosis,NA,NA,Multiple Sclerosis,1
custom:non_localized_prostate_cancer_risk_in_10_years,Non-localized prostate cancer risk in 10 years,NA,NA,Non-localized prostate cancer risk in 10 years,1
custom:non_monogenic_idiopathic_nephrotic_syndrome,Non-monogenic idiopathic nephrotic syndrome,NA,NA,Non-monogenic idiopathic nephrotic syndrome,1
custom:nonalcoholic_fatty_liver_disease,Nonalcoholic fatty liver disease,NA,NA,Nonalcoholic fatty liver disease,1
custom:nonsyndromic_cleft_lip_with_or_without_cleft_palate,Nonsyndromic cleft lip with or without cleft palate,NA,NA,Nonsyndromic cleft lip with or without cleft palate,1
custom:ovarian_cancer,Ovarian cancer,NA,NA,Ovarian cancer,1
custom:ovarian_endometriosis,Ovarian endometriosis,NA,NA,Ovarian endometriosis,1
custom:ovarian_serous_carcinoma,ovarian serous carcinoma,NA,NA,ovarian serous carcinoma,1
custom:pancreatic_cancer_0_10_years_of_follow_up_,Pancreatic cancer (0-10 years of follow-up),NA,NA,Pancreatic cancer (0-10 years of follow-up),1
custom:parkinson_s_disease_age_at_onset_,Parkinson's disease (age at onset),NA,NA,Parkinson's disease (age at onset),1
custom:pediatric_steroid_sensitive_nephrotic_syndrome,Pediatric Steroid-Sensitive Nephrotic Syndrome,NA,NA,Pediatric Steroid-Sensitive Nephrotic Syndrome,1
custom:peripheral_arterial_disease,Peripheral arterial disease,NA,NA,Peripheral arterial disease,1
custom:peritoneal_endometriosis,Peritoneal endometriosis,NA,NA,Peritoneal endometriosis,1
custom:prevalent_coronary_artery_disease,Prevalent Coronary Artery Disease,NA,NA,Prevalent Coronary Artery Disease,1
custom:prevalent_cutaneous_melanoma,Prevalent cutaneous melanoma,NA,NA,Prevalent cutaneous melanoma,1
custom:prevalent_heart_failure,Prevalent heart failure,NA,NA,Prevalent heart failure,1
custom:prevalent_invasive_breast_cancer,Prevalent invasive breast cancer,NA,NA,Prevalent invasive breast cancer,1
custom:prevalent_myocardial_infarction,Prevalent Myocardial Infarction,NA,NA,Prevalent Myocardial Infarction,1
custom:prevalent_myocardial_infarction_and_coronary_revascularization_procedure,Prevalent Myocardial Infarction and Coronary Revascularization procedure,NA,NA,Prevalent Myocardial Infarction and Coronary Revascularization procedure,1
custom:prevalent_vte,Prevalent VTE,NA,NA,Prevalent VTE,1
custom:probabable_rem_sleep_behavior_disorder,Probabable REM sleep behavior disorder,NA,NA,Probabable REM sleep behavior disorder,1
custom:probabable_rem_sleep_behavior_disorder_with_parkinson_disease_,Probabable REM sleep behavior disorder (with Parkinson disease),NA,NA,Probabable REM sleep behavior disorder (with Parkinson disease),1
custom:prostate_adenocarcinoma,prostate adenocarcinoma,NA,NA,prostate adenocarcinoma,1
custom:prostate_cancer,Prostate cancer,NA,NA,Prostate Cancer,1
custom:prostate_cancer_clinical_cases_,Prostate cancer (clinical cases),NA,NA,Prostate cancer (clinical cases),1
custom:prostate_cancer_in_brca1_carriers,Prostate cancer in BRCA1 carriers,NA,NA,Prostate cancer in BRCA1 carriers,1
custom:prostate_cancer_in_brca2_carriers,Prostate cancer in BRCA2 carriers,NA,NA,Prostate cancer in BRCA2 carriers,1
custom:prostate_cancer_in_male_carriers_of_brca1_2_mutations,Prostate cancer in male carriers of BRCA1/2 mutations,NA,NA,Prostate cancer in male carriers of BRCA1/2 mutations,1
custom:prostate_cancer_metastasis_or_death,Prostate cancer metastasis or death,NA,NA,Prostate cancer metastasis or death,1
custom:prostate_cancer_screening_trial_detected_,Prostate cancer (screening trial detected),NA,NA,Prostate cancer (screening trial detected),1
custom:prostate_carcinoma,Prostate carcinoma,NA,NA,Prostate carcinoma,1
custom:proximal_colon_cancer,Proximal colon cancer,NA,NA,Proximal colon cancer,1
custom:pulmonary_embolism,Pulmonary embolism,NA,NA,Pulmonary embolism,1
custom:rectal_cancer,Rectal cancer,NA,NA,Rectal cancer,1
custom:renal_disease_age_of_onset,Renal disease age of onset,NA,NA,Renal disease age of onset,1
custom:severe_covid_19_course,Severe COVID-19 course,NA,NA,Severe COVID-19 course,1
custom:severe_early_age_related_macular_degeneration_3cacss_,Severe early age-related macular degeneration (3CACSS),NA,NA,Severe early age-related macular degeneration (3CACSS),1
custom:severe_insulin_deficiency,Severe insulin deficiency,NA,NA,Severe insulin deficiency,1
custom:short_stature_in_adulthood,Short stature in adulthood,NA,NA,Short stature in adulthood,1
custom:short_stature_in_adulthood_females_,Short stature in adulthood (females),NA,NA,Short stature in adulthood (females),1
custom:short_stature_in_adulthood_males_,Short stature in adulthood (males),NA,NA,Short stature in adulthood (males),1
custom:skin_cutaneous_melanoma,skin cutaneous melanoma,NA,NA,skin cutaneous melanoma,1
custom:systemic_sclerosis,Systemic sclerosis,NA,NA,Systemic sclerosis,1
custom:total_cholesterol_levels,Total cholesterol levels,NA,NA,Total cholesterol levels,1
custom:total_prostate_cancer_risk_in_10_years,Total prostate cancer risk in 10 years,NA,NA,Total prostate cancer risk in 10 years,1
custom:type_1_diabetes_aetiology_non_monogenic_,Type 1 diabetes aetiology (non-monogenic),NA,NA,Type 1 diabetes aetiology (non-monogenic),1
custom:type_1_diabetes_vs_latent_autoimmune_diabetes_type_2_diabetes,Type 1 diabetes vs latent autoimmune diabetes/type 2 diabetes,NA,NA,Type 1 diabetes vs latent autoimmune diabetes/type 2 diabetes,1
custom:type_1_diabetes_with_age_of_diagnosis_under_25,Type 1 diabetes with age of diagnosis under 25,NA,NA,Type 1 diabetes with age of diagnosis under 25,1
custom:type_2_diabetes_mellitus,Type 2 diabetes mellitus,NA,NA,Type 2 diabetes mellitus,1
custom:type_2_diabetes_with_age_of_diagnosis_over_45,Type 2 diabetes with age of diagnosis over 45,NA,NA,Type 2 diabetes with age of diagnosis over 45,1
custom:uterine_cancer,Uterine cancer,NA,NA,Uterine cancer,1
custom:uterine_endometrial_carcinoma,uterine endometrial carcinoma,NA,NA,uterine endometrial carcinoma,1
custom:uterine_fibroid,Uterine fibroid,NA,NA,Uterine fibroid,1
custom:venous_thromboembolism,Venous thromboembolism,NA,NA,Venous thromboembolism,1
